/home/jmansilla/tarea3/tarea3_hpc
Wed 12 Jul 2023 02:19:01 PM -04
Launching from 5 
Detecting initial condition...Initial condition taken from spqr_inits/init.pdb.
Reading MC parameters from file params.spqr ...
SPQR SIMULATION PARAMETERS
Temperature                 : 6.000000
MC integration steps        : 15000000
Saving trajectory every     : 1500000
Saving checkpoints every    : 150000000
Random seed                 : 10
MC nt position displacement : 0.100000
MC ph position displacement : 0.200000
MC nt-rotation angle        : 0.030000
Cutoff radii                : 21.000000 11.000000 (wc) 8.000000 (bph) 21.000000 (nb)
Verlet skin                 : 2.000000
Energy file                 : /home/jmansilla/tarea3/spqr/interactions/intrac.btb

Saving configurations to file configs/confs.p05.mc.
WARNING: WRITING TRAJECTORY IN PDB FORMAT.
/******* SIMULATED ANNEALING **********/
Starting from anneal step 0
Maximum temperature:                15.000000 
Minimum temperature:                1.000000 
Temperature factor:                 0.750000 
Step factor:                        0.750000 
Number of iterations:                25 
Previous energy:                     0.000000 
Each run is 15000000 MC steps. Saving every 1500000 trials.
Processor (job) 5 starting from time 0
JOB 5 , INITIAL ENERGY IS -2952.027728
Step 0 on processor 5, temperature set to 15.000000
Step 0 on 5, energy is -3042.693660 . It was -2952.027728
Step 1 on processor 5, temperature set to 15.000000
Step 1 on 5, energy is -2742.382973 . It was -3042.693660
Step 2 on processor 5, temperature set to 11.250000
Step 2 on 5, energy is -2957.898040 . It was -2742.382973
Step 3 on processor 5, temperature set to 11.250000
Step 3 on 5, energy is -2942.054525 . It was -2957.898040
Step 4 on processor 5, temperature set to 8.437500
Step 4 on 5, energy is -3151.486991 . It was -2942.054525
Step 5 on processor 5, temperature set to 8.437500
Step 5 on 5, energy is -3114.941149 . It was -3151.486991
Step 6 on processor 5, temperature set to 6.328125
Step 6 on 5, energy is -3435.122320 . It was -3114.941149
Step 7 on processor 5, temperature set to 6.328125
Step 7 on 5, energy is -3614.334055 . It was -3435.122320
Step 8 on processor 5, temperature set to 6.328125
Step 8 on 5, energy is -3603.147409 . It was -3614.334055
Step 9 on processor 5, temperature set to 4.746094
Step 9 on 5, energy is -3635.756615 . It was -3603.147409
Step 10 on processor 5, temperature set to 4.746094
Step 10 on 5, energy is -3630.555017 . It was -3635.756615
Step 11 on processor 5, temperature set to 3.559570
Step 11 on 5, energy is -3666.032940 . It was -3630.555017
Step 12 on processor 5, temperature set to 3.559570
Step 12 on 5, energy is -3649.063925 . It was -3666.032940
Step 13 on processor 5, temperature set to 2.669678
Step 13 on 5, energy is -3670.383061 . It was -3649.063925
Step 14 on processor 5, temperature set to 2.669678
Step 14 on 5, energy is -3672.173820 . It was -3670.383061
Step 15 on processor 5, temperature set to 2.669678
Step 15 on 5, energy is -3676.233232 . It was -3672.173820
Step 16 on processor 5, temperature set to 2.669678
Step 16 on 5, energy is -3666.832745 . It was -3676.233232
Step 17 on processor 5, temperature set to 2.002258
Step 17 on 5, energy is -3686.513727 . It was -3666.832745
Step 18 on processor 5, temperature set to 2.002258
Step 18 on 5, energy is -3687.024279 . It was -3686.513727
Step 19 on processor 5, temperature set to 2.002258
Step 19 on 5, energy is -3688.356900 . It was -3687.024279
Step 20 on processor 5, temperature set to 2.002258
Step 20 on 5, energy is -3686.720679 . It was -3688.356900
Step 21 on processor 5, temperature set to 1.501694
Step 21 on 5, energy is -3697.906020 . It was -3686.720679
Step 22 on processor 5, temperature set to 1.501694
Step 22 on 5, energy is -3695.933007 . It was -3697.906020
Step 23 on processor 5, temperature set to 1.126270
Step 23 on 5, energy is -3706.590512 . It was -3695.933007
Step 24 on processor 5, temperature set to 1.126270
Step 24 on 5, energy is -3706.325481 . It was -3706.590512
Simulation 5 ended properly. Checkpoint saved with temperature 0.844703 and minimum energy -3706.325481 .
